ID,Sex,Age,AgeGroup,EthnicGroup,Education,SES,DeprivationIndex,Victim,confpolice,antisoc
137218330.0,Female,36.0,3,White,University,1.0,5.0,0.0,-0.0873687073786762,0.26
137219010.0,Male,70.0,6,White,99,5.0,99.0,0.0,0.3593503564624661,-0.23
137219050.0,Female,37.0,3,White,University,5.0,99.0,0.0,0.4202665924408038,0.43
137219090.0,Female,37.0,3,Asian or Asian British,University,1.0,99.0,0.0,0.3593503564624661,0.24
137219130.0,Male,31.0,2,White,ALevel,4.0,99.0,0.0,0.3593503564624661,0.95
137219170.0,Male,34.0,2,White,ALevel,3.0,99.0,0.0,0.3593503564624661,-0.45
137219210.0,Female,60.0,5,White,99,3.0,99.0,0.0,-0.5340877712198188,0.13
137219250.0,Male,42.0,3,White,99,5.0,99.0,0.0,-0.75744730314039,-0.69
137220090.0,Female,74.0,6,White,GCSE,5.0,99.0,0.0,-0.3411863572884163,1.0
137220170.0,Female,70.0,6,White,GCSE,2.0,99.0,0.0,0.917749186263894,1.22
137220250.0,Male,27.0,2,White,University,3.0,99.0,0.0,0.1461435305382845,0.73
137221010.0,Male,69.0,6,White,University,1.0,99.0,0.0,-0.3107282392992475,0.54
137221090.0,Female,58.0,5,White,GCSE,5.0,99.0,0.0,-0.5543931832125979,-2.98
137221130.0,Male,18.0,1,White,University,5.0,99.0,0.0,-0.3005755333028579,-0.95
137221170.0,Female,71.0,6,White,University,1.0,99.0,0.0,0.1562962365346741,-0.06
137221210.0,Female,75.0,7,White,99,3.0,99.0,0.0,1.2832466021339195,1.0
137221330.0,Male,30.0,2,White,ALevel,5.0,99.0,1.0,0.1562962365346741,-1.21
137222010.0,Male,67.0,6,White,GCSE,1.0,99.0,0.0,1.049734364216959,-0.2
137222130.0,Female,22.0,1,White,University,2.0,99.0,0.0,-0.0975214133750658,99.0
137222290.0,Female,52.0,4,White,University,3.0,99.0,0.0,-0.7980581271259483,1.0
137223010.0,Female,75.0,7,White,GCSE,3.0,99.0,0.0,0.613168006372206,1.22
137223050.0,Male,46.0,4,White,GCSE,3.0,99.0,0.0,-0.0366051773967282,-0.02
137223170.0,Male,50.0,4,White,University,3.0,99.0,0.0,0.6537788303577645,1.22
137223210.0,Female,54.0,4,White,ALevel,1.0,99.0,0.0,0.3593503564624661,1.22
137223290.0,Female,76.0,7,White,GCSE,1.0,99.0,0.0,1.5675223700328285,1.22
137223330.0,Female,76.0,7,White,99,5.0,99.0,0.0,0.1867543545238429,-0.05
137224010.0,Female,25.0,2,White,GCSE,2.0,99.0,0.0,-1.7422597847901813,0.02
137224050.0,Male,29.0,2,White,99,5.0,99.0,0.0,-1.51890025286961,-0.0
137224170.0,Male,20.0,1,White,ALevel,5.0,99.0,1.0,-1.2549298969634803,-1.4
137224210.0,Female,60.0,5,White,GCSE,4.0,99.0,0.0,1.3238574261194782,99.0
137224290.0,Male,80.0,7,White,99,5.0,99.0,0.0,1.0700397762097382,0.26
137225010.0,Female,71.0,6,White,Other,4.0,99.0,0.0,0.917749186263894,99.0
137225050.0,Female,64.0,5,White,GCSE,4.0,99.0,0.0,0.1969070605202325,1.22
137225090.0,Female,25.0,2,White,GCSE,5.0,99.0,1.0,0.3593503564624661,-0.01
137225130.0,Male,57.0,5,White,99,5.0,99.0,0.0,-0.7980581271259483,-0.24
137225170.0,Female,75.0,7,White,ALevel,2.0,99.0,0.0,0.1867543545238429,-0.73
137225210.0,Male,62.0,5,White,ALevel,4.0,99.0,1.0,-3.447914392183634,-1.91
137225290.0,Male,73.0,6,White,University,1.0,99.0,0.0,1.3238574261194782,0.43
137226010.0,Male,77.0,7,White,ALevel,4.0,99.0,1.0,99.0,0.29
137226050.0,Female,64.0,5,White,GCSE,2.0,99.0,0.0,99.0,-0.78
137226090.0,Male,51.0,4,White,ALevel,4.0,99.0,0.0,1.0598870702133485,0.95
137226170.0,Female,94.0,7,White,Other,5.0,99.0,0.0,0.8568329502855566,1.22
137226250.0,Female,37.0,3,White,University,5.0,99.0,0.0,-0.7980581271259483,-0.74
137226290.0,Male,62.0,5,White,ALevel,5.0,99.0,0.0,-2.199131554627713,-0.35
137226330.0,Male,48.0,4,White,University,1.0,99.0,0.0,0.613168006372206,-0.48
137227010.0,Female,77.0,7,White,GCSE,1.0,99.0,0.0,-1.2549298969634803,99.0
137227090.0,Female,42.0,3,White,ALevel,1.0,99.0,0.0,0.866985656281946,-1.49
137227130.0,Male,18.0,1,White,ALevel,1.0,99.0,0.0,-1.01126495305013,-2.6
137227210.0,Female,71.0,6,White,Other,1.0,99.0,0.0,0.3593503564624661,-0.46
137227250.0,Female,69.0,6,White,ALevel,5.0,99.0,0.0,-0.5645458892089875,-1.64
137227290.0,Male,43.0,3,White,University,1.0,99.0,0.0,-0.3005755333028579,99.0
137227330.0,Female,37.0,3,White,University,6.0,99.0,0.0,99.0,0.51
137228010.0,Female,61.0,5,White,University,1.0,99.0,0.0,-0.7472945971440004,99.0
137228050.0,Female,38.0,3,White,University,1.0,99.0,0.0,-0.5543931832125979,-1.07
137228090.0,Male,80.0,7,White,ALevel,5.0,99.0,0.0,-0.0366051773967282,99.0
137228130.0,Female,60.0,5,White,University,1.0,99.0,0.0,0.1055327065527261,0.24
137229090.0,Female,45.0,4,White,Other,3.0,99.0,0.0,99.0,1.22
137229250.0,Male,75.0,7,White,ALevel,5.0,99.0,1.0,1.7807291959570102,-0.3
137229290.0,Male,30.0,2,White,Other,5.0,99.0,0.0,0.5725571823866478,-0.23
147230010.0,Male,36.0,3,White,GCSE,1.0,3.0,0.0,1.2832466021339195,-0.66
147230090.0,Male,37.0,3,White,University,1.0,2.0,1.0,-0.8488216571078964,-0.74
147230130.0,Male,35.0,3,White,University,1.0,4.0,0.0,-0.3107282392992475,0.46
147230170.0,Female,32.0,2,White,University,1.0,3.0,0.0,0.3593503564624661,-0.5
147230290.0,Female,33.0,2,White,University,1.0,5.0,1.0,1.0801924822061275,1.0
147231010.0,Male,20.0,1,Chinese or other,ALevel,8.0,2.0,0.0,0.3593503564624661,1.22
147231050.0,Male,35.0,3,Black or Black British,99,1.0,1.0,0.0,1.5776750760292182,1.22
147231090.0,Male,53.0,4,White,GCSE,4.0,1.0,0.0,-0.3411863572884163,-1.75
147231130.0,Female,32.0,2,Black or Black British,University,5.0,3.0,0.0,1.7807291959570102,1.22
147231170.0,Male,34.0,2,Asian or Asian British,ALevel,4.0,3.0,1.0,-2.940279092364154,-1.19
147231250.0,Male,52.0,4,White,University,5.0,3.0,0.0,0.1664489425310637,-0.74
147231290.0,Male,28.0,2,White,University,2.0,2.0,1.0,0.1461435305382845,-1.72
147232010.0,Female,32.0,2,Chinese or other,University,6.0,5.0,0.0,1.2832466021339195,0.95
147232130.0,Female,50.0,4,Black or Black British,University,4.0,2.0,0.0,0.5725571823866478,1.0
147232170.0,Male,58.0,5,White,University,3.0,2.0,0.0,0.1562962365346741,1.0
147233090.0,Female,32.0,2,White,GCSE,1.0,2.0,0.0,-1.031570365042909,-0.11
147233170.0,Female,43.0,3,White,GCSE,3.0,5.0,0.0,1.7807291959570102,0.97
147233290.0,Female,38.0,3,White,ALevel,2.0,4.0,0.0,-0.8285162451151171,-0.23
147234170.0,Female,45.0,4,White,University,1.0,2.0,0.0,0.613168006372206,99.0
147234210.0,Male,43.0,3,Black or Black British,University,1.0,1.0,0.0,-0.067063295385897,-0.96
147234290.0,Female,30.0,2,White,99,5.0,1.0,0.0,99.0,-0.74
147235050.0,Female,33.0,2,White,GCSE,5.0,4.0,0.0,0.3593503564624661,-0.74
147235130.0,Female,70.0,6,White,99,2.0,5.0,0.0,0.1562962365346741,-1.01
147235170.0,Male,30.0,2,White,University,3.0,1.0,1.0,-0.3005755333028579,0.01
147235210.0,Female,75.0,7,White,99,5.0,3.0,0.0,0.3593503564624661,-0.06
147235250.0,Female,69.0,6,White,GCSE,1.0,4.0,0.0,-1.0011122470537404,-2.2
147235290.0,Male,60.0,5,White,99,1.0,3.0,0.0,0.3593503564624661,1.22
147236010.0,Female,69.0,6,White,99,3.0,2.0,0.0,0.1055327065527261,1.22
147236050.0,Female,56.0,5,Asian or Asian British,University,1.0,3.0,1.0,0.1461435305382845,-0.25
147236090.0,Male,68.0,6,Asian or Asian British,University,1.0,3.0,0.0,0.3593503564624661,0.31
147236210.0,Female,19.0,1,Mixed,University,1.0,3.0,1.0,0.5827098883830374,0.46
147236250.0,Female,49.0,4,White,University,1.0,3.0,1.0,0.866985656281946,-0.44
147237050.0,Female,70.0,6,Asian or Asian British,University,1.0,4.0,0.0,0.3593503564624661,-1.23
147237090.0,Female,49.0,4,Asian or Asian British,99,5.0,3.0,0.0,0.3593503564624661,-0.96
147237130.0,Female,23.0,1,White,Other,3.0,3.0,0.0,0.3593503564624661,99.0
147237170.0,Male,39.0,3,Asian or Asian British,Other,4.0,4.0,0.0,-1.0518757770356884,-0.31
147237250.0,Female,58.0,5,Asian or Asian British,99,6.0,3.0,0.0,0.3593503564624661,-0.53
147238010.0,Male,52.0,4,Black or Black British,University,4.0,1.0,0.0,-0.117826825367845,-0.53
147238050.0,Male,31.0,2,White,ALevel,3.0,1.0,0.0,0.3593503564624661,-0.48
147238090.0,Male,17.0,1,Black or Black British,ALevel,5.0,1.0,0.0,-2.7270722664399725,-1.82
147238130.0,Male,52.0,4,Chinese or other,University,1.0,1.0,0.0,1.2832466021339195,-0.43
147238170.0,Female,38.0,3,White,Other,5.0,1.0,0.0,-0.0975214133750658,-2.44
147238210.0,Female,17.0,1,White,GCSE,5.0,2.0,0.0,0.5725571823866478,0.75
147238290.0,Male,74.0,6,Black or Black British,University,1.0,2.0,0.0,0.9279018922602836,-1.68
147239010.0,Female,85.0,7,Black or Black British,99,2.0,1.0,0.0,99.0,99.0
147239050.0,Female,38.0,3,Black or Black British,GCSE,4.0,1.0,0.0,-1.234624484970701,-0.92
147239170.0,Male,54.0,4,Black or Black British,University,1.0,1.0,0.0,-1.7118016668010123,-1.61
147239210.0,Female,26.0,2,Black or Black British,University,1.0,1.0,1.0,-0.5442404772162083,-0.98
147239250.0,Female,43.0,3,Asian or Asian British,University,3.0,1.0,0.0,-0.3005755333028579,-0.63
147240050.0,Female,64.0,5,White,University,1.0,2.0,0.0,-0.0975214133750658,0.69
147241050.0,Male,54.0,4,Asian or Asian British,University,1.0,4.0,0.0,0.3593503564624661,1.22
147242050.0,Male,34.0,2,White,ALevel,1.0,3.0,0.0,0.1461435305382845,-0.28
147242090.0,Female,26.0,2,Asian or Asian British,University,1.0,2.0,0.0,1.5269115460472702,0.94
147242210.0,Male,33.0,2,Asian or Asian British,University,1.0,2.0,0.0,0.1664489425310637,-0.44
147243050.0,Female,33.0,2,White,University,1.0,1.0,0.0,0.3593503564624661,-0.94
147243290.0,Female,89.0,7,White,99,5.0,1.0,0.0,99.0,0.48
147244010.0,Male,25.0,2,White,University,1.0,4.0,1.0,1.3238574261194782,1.0
147244050.0,Female,57.0,5,White,University,2.0,4.0,1.0,0.3999611804480245,0.27
147244090.0,Male,28.0,2,White,University,1.0,5.0,1.0,-1.7321070787937916,-2.08
147244170.0,Female,62.0,5,White,GCSE,1.0,4.0,0.0,0.1156854125491157,0.94
147244210.0,Male,65.0,6,Chinese or other,99,1.0,4.0,0.0,-0.0873687073786762,0.72
147244250.0,Male,33.0,2,Chinese or other,99,1.0,3.0,1.0,0.1156854125491157,0.56
147245050.0,Male,50.0,4,Black or Black British,University,1.0,2.0,0.0,-0.5950040071981564,-0.53
147245290.0,Male,35.0,3,White,University,1.0,2.0,1.0,99.0,-0.78
147246050.0,Female,88.0,7,White,ALevel,5.0,2.0,0.0,0.3593503564624661,-0.23
147246130.0,Female,44.0,3,White,University,1.0,1.0,0.0,-0.0569105893895074,-0.26
147247050.0,Male,18.0,1,White,GCSE,7.0,1.0,0.0,0.3593503564624661,-0.8
147247250.0,Female,65.0,6,Black or Black British,Other,1.0,2.0,0.0,0.1461435305382845,-0.53
147248090.0,Female,40.0,3,White,University,1.0,2.0,0.0,-1.925008492725194,0.3
147248130.0,Male,65.0,6,White,99,5.0,1.0,1.0,-1.031570365042909,-1.21
147248170.0,Female,38.0,3,White,University,1.0,4.0,1.0,-0.5543931832125979,0.78
147248210.0,Female,73.0,6,White,99,5.0,1.0,0.0,0.1156854125491157,0.35
147248250.0,Male,22.0,1,White,99,5.0,1.0,0.0,-0.5543931832125979,-0.14
147249010.0,Female,74.0,6,White,99,5.0,1.0,0.0,1.0801924822061275,-0.44
147249050.0,Female,45.0,4,White,GCSE,5.0,2.0,0.0,99.0,0.95
147249090.0,Male,43.0,3,White,University,1.0,1.0,0.0,99.0,1.22
147249130.0,Female,69.0,6,White,99,5.0,1.0,0.0,0.3593503564624661,0.34
147249210.0,Female,64.0,5,White,GCSE,1.0,2.0,1.0,99.0,0.22
147249250.0,Female,52.0,4,White,ALevel,1.0,4.0,0.0,0.8771383622783356,-0.76
147249290.0,Male,75.0,7,White,99,5.0,1.0,0.0,0.613168006372206,0.02
147250010.0,Male,44.0,3,White,GCSE,5.0,4.0,0.0,0.3593503564624661,0.07
147250050.0,Female,29.0,2,White,GCSE,1.0,2.0,0.0,-0.3310336512920266,0.54
147250090.0,Male,25.0,2,White,GCSE,5.0,4.0,0.0,1.5776750760292182,1.0
147250130.0,Male,19.0,1,White,GCSE,5.0,2.0,0.0,-0.75744730314039,-0.01
147250210.0,Male,76.0,7,White,99,5.0,1.0,0.0,1.0700397762097382,1.22
147250250.0,Female,64.0,5,White,99,3.0,3.0,0.0,0.3593503564624661,0.72
147251050.0,Female,57.0,5,Asian or Asian British,ALevel,3.0,5.0,0.0,0.1562962365346741,0.97
147251090.0,Male,63.0,5,White,University,1.0,5.0,0.0,0.1156854125491157,0.21
147251130.0,Female,67.0,6,White,University,1.0,5.0,0.0,-0.5543931832125979,0.26
147251250.0,Male,49.0,4,Asian or Asian British,University,3.0,5.0,0.0,1.7807291959570102,1.22
147251290.0,Female,40.0,3,White,University,1.0,4.0,0.0,-0.8082108331223379,0.48
147252090.0,Female,57.0,5,White,University,3.0,2.0,0.0,0.8365275382927774,0.7
147252130.0,Female,19.0,1,White,GCSE,5.0,3.0,0.0,0.613168006372206,0.49
147252170.0,Male,32.0,2,White,GCSE,5.0,1.0,0.0,0.1461435305382845,-0.45
147252210.0,Female,35.0,3,White,GCSE,5.0,1.0,0.0,-0.0366051773967282,-1.43
147252250.0,Male,43.0,3,White,GCSE,3.0,1.0,0.0,0.3593503564624661,0.05
147253010.0,Male,68.0,6,White,ALevel,4.0,3.0,0.0,-0.5848513012017668,-0.01
147253050.0,Male,39.0,3,White,University,1.0,3.0,1.0,0.4202665924408038,0.75
147253090.0,Female,85.0,7,White,99,5.0,3.0,0.0,1.1309560121880755,0.57
147253210.0,Male,64.0,5,White,GCSE,1.0,4.0,0.0,-0.5645458892089875,-0.23
147253290.0,Female,43.0,3,White,University,1.0,4.0,0.0,0.3593503564624661,0.43
147254010.0,Male,66.0,6,White,99,5.0,1.0,0.0,1.7807291959570102,99.0
147254050.0,Female,44.0,3,White,GCSE,1.0,1.0,0.0,0.613168006372206,0.97
147254170.0,Male,81.0,7,White,99,5.0,1.0,0.0,0.5624044763902581,0.53
147254210.0,Female,74.0,6,White,99,2.0,3.0,0.0,0.3593503564624661,0.23
147255170.0,Female,54.0,4,White,GCSE,5.0,1.0,0.0,99.0,-0.98
147255210.0,Female,73.0,6,White,GCSE,2.0,1.0,0.0,-0.9909595410573508,-1.43
147255290.0,Male,53.0,4,White,ALevel,2.0,1.0,1.0,-2.930126386367764,-3.42
147256010.0,Female,47.0,4,White,University,1.0,3.0,0.0,-1.7524124907865708,-1.44
147256050.0,Male,66.0,6,White,University,1.0,5.0,0.0,0.1461435305382845,1.0
147257050.0,Male,47.0,4,White,University,4.0,2.0,0.0,0.3593503564624661,-0.01
147257290.0,Female,67.0,6,White,99,4.0,1.0,0.0,0.1461435305382845,99.0
147258050.0,Male,76.0,7,White,ALevel,5.0,1.0,1.0,-0.1787430613461826,-2.71
